org_id,size_category,num_stores,annual_revenue,it_budget_pct,employees,pos_terminals,legacy_ratio,region,baseline_availability,baseline_mttr_hours,baseline_security_incidents,baseline_compliance_score,baseline_patch_lag_days
ORG-SIM-001,small,88,316.19156568740095,1.5917173949330818,3132,369,0.6891665505707183,Nord,0.9879780742205108,7.507196575036572,50,0.7039915906107852,117
ORG-SIM-002,small,79,191.54957948716762,1.5909124836035504,1869,285,0.7049512863264475,Nord,0.9936328901619026,6.4761240023841395,45,0.6648328099146296,87
ORG-SIM-003,small,96,310.73011379195276,1.6912309956335814,3807,377,0.7719880813472642,Centro,0.9914132017072826,7.9701614306402515,64,0.6929890751321496,119
ORG-SIM-004,small,51,171.79176870423998,1.7200762468698008,1144,203,0.6068777042230437,Sud,0.9936450898242064,6.779156350028978,33,0.6335906975550785,122
ORG-SIM-005,small,67,237.86779833038935,1.9697494707820946,2539,281,0.7843748470046235,Nord,0.9899818293142698,6.416705786463113,41,0.6326660951319326,106
ORG-SIM-006,small,94,214.49375429525537,1.9010984903770198,2020,467,0.7544489538593315,Nord,0.9940619990449919,8.931280119116199,60,0.658039123838868,115
ORG-SIM-007,medium,234,1099.818054405626,2.224725337069102,7466,1196,0.5337682505327215,Centro,0.9908516894261119,6.13795294322489,128,0.7533118579543976,101
ORG-SIM-008,medium,241,961.0094774476363,2.261366414690997,9290,982,0.42157828539866093,Nord,0.9911624990828172,6.5424916173394205,127,0.7605370835651041,101
ORG-SIM-009,medium,170,608.5154939906812,2.0806106436270024,8260,1092,0.5266807513020847,Sud,0.9929404795924659,6.013267433113356,100,0.7648973453061324,85
ORG-SIM-010,medium,220,944.9836530381995,2.000260188497658,8151,1081,0.4329311706285884,Centro,0.9978902312289736,5.34666354248386,118,0.7758438660624354,81
ORG-SIM-011,medium,212,663.5143127742082,2.1269577069671723,7406,1290,0.5424541179848884,Nord,0.9938712438983981,5.844902335044728,117,0.6750620429180645,112
ORG-SIM-012,medium,167,528.0050109951269,2.184827228030702,5818,1070,0.4940601268892077,Sud,0.996436100875513,5.110541975696518,96,0.896691990046406,91
ORG-SIM-013,large,252,1454.7150650503108,2.7742950532895976,10163,2028,0.3452991550395876,Centro,0.9970726720647641,2.585309068738723,135,0.8305867800511693,46
ORG-SIM-014,large,466,2156.282125791324,2.679013581679296,25124,3222,0.3349909854191872,Sud,0.99257894084295,3.6189784918959855,243,0.8199301377214137,47
ORG-SIM-015,large,396,2446.4353464978444,2.9279771819668037,22865,3611,0.42840632923085753,Nord,0.9965861449465974,2.785648581973632,208,0.7904348251398675,69
